Start Date,End Date,Event Name,Page Path,Event Count,Total Users,Pulled At
28daysAgo,yesterday,first_visit,/case-studies/woocommerce-price-list-manager-plugin/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/category/uncategorized/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/how-to-know-if-your-woocommerce-store-needs-a-rebuild-or-just-optimization/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/insights/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/insights/page/2/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/services/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/services/woocommerce-store-development/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/terms-of-service/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/todo-sobre-las-web-apps/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/what-to-automate-in-woocommerce-operations-and-what-still-needs-human-review/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/when-adding-another-woocommerce-plugin-becomes-more-risky-than-building-the-feature-properly/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/when-customers-are-charged-but-woocommerce-orders-do-not-update-correctly/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/why-woocommerce-inventory-sync-breaks-between-multiple-sales-channels/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/why-woocommerce-orders-stay-pending-after-a-successful-payment/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/why-your-woocommerce-store-is-slow/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/woocommerce-erp-integration-what-to-decide-before-connecting-your-store/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/wr-log,1,1,6/29/2026
28daysAgo,yesterday,lead_form_submit_success,/contact/,1,1,6/29/2026
28daysAgo,yesterday,lead_form_submit_success,/store-audit/,1,1,6/29/2026
28daysAgo,yesterday,mobile_menu_open,/viaje-captiva/,1,1,6/29/2026
28daysAgo,yesterday,nav_service_click,/case-studies/beghelli-usa-website-redesign-mas500-integration/,1,1,6/29/2026
28daysAgo,yesterday,nav_service_click,/case-studies/woocommerce-price-list-manager-plugin/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/add-extra-fields-to-categories-without-plugin-wordpress/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/beef-casino-review-unlock-huge-bonuses-and-top-14/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/before-connecting-woocommerce-to-an-erp-or-inventory-system-decide-which-system-is-in-charge/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/before-rebuilding-woocommerce-store-audit-first/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/betigma-din-egen-kompletta-vagledning-till-spelupplevelsen/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/betigma-your-premier-destination-for-remarkable-online-gaming-experience/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/category/integrations/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/category/uncategorized/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/chicken-road-2-zabava-koja-osvaja-svijet-mrenih-casina/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/custom-post-type-in-wordpress-cpt/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/docs/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/dragonia-casino-din-egen-omfattende-guide-til-spennende-spillopplevelser/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/home-2/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/hvilke-betaling-metode-lever-brukbar-atomnummer-85-sg8-kasino-21-casino-norway-join-the-action/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/kosta-hypebet-casino-licens-och-laga-bobby-casino-sverige-collect-bonus/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/lucky-capone-herni-portal-exkluzivni-herni-platforma-s-podsvetnim-stylem/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/manuale-esaustiva-ai-siti-di-gioco-non-aams-possibilita-e-vantaggi-per/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/morospin-casino-spitzenklasse-im-virtuellen-glucksspiel/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/nejvyi-mezinarodni-online-casino-komplexni-manual-pro-uivatele/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/online-casino-komplexni-navod-prostedim-virtualniho/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/pin-ap-kazino-v-kazahstane-oficialnyj-sajt-pin-up-2/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/product/wr-ultimate-price-list/,1,1,6/29/2026
28daysAgo,yesterday,page_view,/r-sg8-kasino-gummi-och-legalisera-casino-flaxcasino-se-play-for-real/,1,1,6/29/2026
